ValuationDate=2022-10-05
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.64862,0.64913,0.648875,0.652545,0.64171,0.65025
FX_SPT_EURUSD,Succeeded,0.98831,0.98861,0.98846,0.999405,0.983665,0.998595
FX_SPT_USDCAD,Succeeded,1.36169,1.36203,1.36186,1.36944,1.350415,1.3511
FX_SPT_USDMXN,Succeeded,20.06518,20.07617,20.07068,20.15434,19.94347,19.9696
FX_SPT_USDCNY,Succeeded,7.112036,7.119953,7.115994,7.1161,7.115995,7.114997
FX_SPT_USDCNH,Succeeded,7.0657,7.07047,7.068085,7.09307,7.012765,7.141275
FX_SPT_USDHKD,Succeeded,7.84957,7.85013,7.84985,7.849995,7.849305,7.84993
FX_SPT_USDJPY,Succeeded,144.655,144.696,144.6755,144.839,143.5445,144.148
FX_SPT_GBPUSD,Succeeded,1.13262,1.13305,1.132835,1.14899,1.122805,1.14759
FX_SPT_USDKRW,Succeeded,1416.01,1418.249,1417.13,1423.488,1409.794,1416.358
FX_SPT_USDSGD,Succeeded,1.42426,1.4257,1.42498,1.43,1.419805,1.422975
FX_SPT_USDILS,Succeeded,3.52138,3.53191,3.526645,3.550165,3.504095,3.53856
