ValuationDate=2022-10-11
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.62707,0.62742,0.627245,0.63458,0.62475,0.63674
FX_SPT_EURUSD,Succeeded,0.97055,0.97081,0.97068,0.97741,0.967315,0.974045
FX_SPT_USDCAD,Succeeded,1.37942,1.37979,1.379605,1.385475,1.371505,1.3735
FX_SPT_USDMXN,Succeeded,20.0772,20.0886,20.0829,20.113,19.93513,20.04314
FX_SPT_USDCNY,Failed,,,,,,
FX_SPT_USDCNH,Failed,,,,,,
FX_SPT_USDHKD,Succeeded,7.84964,7.85033,7.849985,7.85002,7.849725,7.849885
FX_SPT_USDJPY,Succeeded,145.843,145.872,145.8575,145.896,145.429,145.3595
FX_SPT_GBPUSD,Succeeded,1.09658,1.09732,1.09695,1.117895,1.095345,1.109285
FX_SPT_USDKRW,Succeeded,1431.545,1433.589,1432.567,1438.318,1426.657,1424.818
FX_SPT_USDSGD,Succeeded,1.43781,1.4391,1.438455,1.44113,1.432685,1.433455
FX_SPT_USDILS,Succeeded,3.57051,3.57888,3.574695,3.59661,3.55186,3.547095
