ValuationDate=2022-10-10
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.62972,0.63012,0.62992,0.64248,0.62754,0.63674
FX_SPT_EURUSD,Succeeded,0.97018,0.97045,0.970315,0.975235,0.968255,0.974045
FX_SPT_USDCAD,Succeeded,1.37786,1.37818,1.37802,1.378165,1.37043,1.3735
FX_SPT_USDMXN,Succeeded,19.95775,19.97768,19.96771,20.05851,19.94055,20.04314
FX_SPT_USDCNY,Failed,,,,,,
FX_SPT_USDCNH,Failed,,,,,,
FX_SPT_USDHKD,Succeeded,7.84943,7.85017,7.8498,7.85001,7.849655,7.849885
FX_SPT_USDJPY,Succeeded,145.705,145.752,145.7285,145.801,145.239,145.3595
FX_SPT_GBPUSD,Succeeded,1.1054,1.10582,1.10561,1.111015,1.102125,1.109285
FX_SPT_USDKRW,Succeeded,1427.287,1430.117,1428.702,1430.122,1415.478,1424.818
FX_SPT_USDSGD,Succeeded,1.43698,1.43743,1.437205,1.438575,1.432805,1.433455
FX_SPT_USDILS,Succeeded,3.55273,3.56273,3.55773,3.5812,3.528,3.547095
