ValuationDate=2022-10-03
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.65139,0.65164,0.651515,0.65216,0.64119,0.640125
FX_SPT_EURUSD,Succeeded,0.98239,0.98265,0.98252,0.984365,0.97539,0.98024
FX_SPT_USDCAD,Succeeded,1.36214,1.36241,1.362275,1.380535,1.36207,1.36824
FX_SPT_USDMXN,Succeeded,20.02123,20.0373,20.02926,20.13862,19.95401,20.14509
FX_SPT_USDCNY,Succeeded,7.112009,7.11998,7.115994,7.116648,7.115995,7.114997
FX_SPT_USDCNH,Succeeded,7.10161,7.10804,7.104825,7.156065,7.09019,7.141275
FX_SPT_USDHKD,Succeeded,7.84956,7.8503,7.84993,7.85006,7.849605,7.84984
FX_SPT_USDJPY,Succeeded,144.54,144.579,144.5595,145.2,144.164,144.764
FX_SPT_GBPUSD,Succeeded,1.13211,1.13253,1.13232,1.133315,1.108635,1.116455
FX_SPT_USDKRW,Succeeded,1432.621,1434.569,1433.595,1445.258,1432.1,1440.274
FX_SPT_USDSGD,Succeeded,1.4306,1.43211,1.431355,1.437555,1.42928,1.43611
FX_SPT_USDILS,Succeeded,3.53527,3.54185,3.53856,3.613475,3.53695,3.56751
