ValuationDate=2022-10-06
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.64054,0.64117,0.640855,0.65404,0.63903,0.648875
FX_SPT_EURUSD,Succeeded,0.97903,0.97927,0.97915,0.99262,0.97891,0.98846
FX_SPT_USDCAD,Succeeded,1.37462,1.37497,1.374795,1.3755,1.35651,1.36186
FX_SPT_USDMXN,Succeeded,20.11433,20.13382,20.12407,20.15828,20.01814,20.07068
FX_SPT_USDCNY,Failed,,,,,,
FX_SPT_USDCNH,Failed,,,,,,
FX_SPT_USDHKD,Succeeded,7.8495,7.85031,7.849905,7.84992,7.8495,7.84985
FX_SPT_USDJPY,Succeeded,145.122,145.154,145.138,145.1385,144.393,144.6755
FX_SPT_GBPUSD,Succeeded,1.11573,1.11632,1.116025,1.138315,1.11217,1.132835
FX_SPT_USDKRW,Succeeded,1405.664,1408.514,1407.089,1417.105,1397.495,1417.13
FX_SPT_USDSGD,Succeeded,1.42887,1.42971,1.42929,1.42986,1.42011,1.42498
FX_SPT_USDILS,Succeeded,3.52235,3.53132,3.526835,3.545285,3.5089,3.53856
