ValuationDate=2022-10-04
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.65013,0.65037,0.65025,0.654585,0.645205,0.640125
FX_SPT_EURUSD,Succeeded,0.99842,0.99877,0.998595,0.999905,0.9807,0.98252
FX_SPT_USDCAD,Succeeded,1.35089,1.35131,1.3511,1.36638,1.350335,1.362275
FX_SPT_USDMXN,Succeeded,19.9634,19.97579,19.96959,20.04719,19.95177,20.02926
FX_SPT_USDCNY,Succeeded,7.112665,7.119324,7.115994,7.116048,7.115995,7.114997
FX_SPT_USDCNH,Succeeded,7.03973,7.04557,7.04265,7.11677,7.031215,7.141275
FX_SPT_USDHKD,Succeeded,7.8491,7.84983,7.849465,7.85071,7.849175,7.84993
FX_SPT_USDJPY,Succeeded,144.124,144.172,144.148,144.9285,143.9,144.5595
FX_SPT_GBPUSD,Succeeded,1.14737,1.14781,1.14759,1.148875,1.128185,1.13232
FX_SPT_USDKRW,Succeeded,1415.35,1417.366,1416.358,1436.269,1416.358,1440.274
FX_SPT_USDSGD,Succeeded,1.42251,1.42344,1.422975,1.43236,1.421735,1.431355
FX_SPT_USDILS,Succeeded,3.50025,3.50774,3.503995,3.5476,3.5011,3.53856
